subject_id,trial,block,evidence_clarity,rule_stability,decision_uncertainty,state_uncertainty,total_uncertainty,reward_magnitude,control_signal,effort_cost,accuracy,reaction_time,obtained_reward,confidence,uncertainty_tolerance
1,1,1,0.7311989040672405,0.9,0.26880109593275947,0.09999999999999998,0.18440054796637972,5,0.3050480576064994,0.09305431744949817,1,500.1751873810926,5,0.5321982403307007,0.6156354589595345
1,2,1,0.8301776945897705,0.9,0.16982230541022947,0.09999999999999998,0.13491115270511472,1,0.35414180043662813,0.12541641481649654,1,478.8006754089642,1,0.5857264846067716,0.6156354589595345
1,3,1,0.7608484485919075,0.9,0.23915155140809252,0.09999999999999998,0.16957577570404625,2,0.19546683973808057,0.03820728543719248,1,561.4981099893124,2,0.4963723115305154,0.6156354589595345
1,4,1,0.8947511037682918,0.9,0.10524889623170819,0.09999999999999998,0.10262444811585408,5,0.6621387733992556,0.43842775523867084,1,453.2846420705039,5,0.7457813495435972,0.6156354589595345
1,5,1,0.8028468876827223,0.9,0.19715311231727772,0.09999999999999998,0.14857655615863885,10,0.7441361479344508,0.5537386066627229,1,464.9220746389251,10,0.7424992028012779,0.6156354589595345
1,6,1,0.7900998503939086,0.9,0.20990014960609138,0.09999999999999998,0.15495007480304568,2,0.3784058903151741,0.14319101782521956,1,556.0164244617282,2,0.5824108972509395,0.6156354589595345
1,7,1,0.8368466053024314,0.9,0.16315339469756862,0.09999999999999998,0.1315766973487843,5,0.6071197168824505,0.36859435062742685,0,557.8035668183416,0,0.6978301061454721,0.6156354589595345
1,8,1,0.7346729307015544,0.9,0.26532706929844563,0.09999999999999998,0.1826635346492228,1,0.5004383800050236,0.2504385721820524,1,443.71303989571334,1,0.6131815009949761,0.6156354589595345
1,9,1,0.8040136042355621,0.9,0.19598639576443788,0.09999999999999998,0.14799319788221893,2,0.3918346587040227,0.15353439976169794,0,508.54735741969466,0,0.5929262983195538,0.6156354589595345
1,10,1,0.7899508266739531,0.9,0.2100491733260469,0.09999999999999998,0.15502458666302343,2,0.46029992715088874,0.21187602293511348,0,544.5654352312487,0,0.6169587672701395,0.6156354589595345
1,11,1,0.7176985004103839,0.9,0.28230149958961614,0.09999999999999998,0.19115074979480806,5,0.5618124089681614,0.31563318287060865,0,502.43901744569376,0,0.631635397977531,0.6156354589595345
1,12,1,0.8494640220274762,0.9,0.15053597797252383,0.09999999999999998,0.1252679889862619,5,0.46689900715286575,0.21799468288033177,1,543.7466072915378,5,0.6415717592404411,0.6156354589595345
1,13,1,0.8085392166316496,0.9,0.19146078336835037,0.09999999999999998,0.14573039168417518,1,0.32923667931064754,0.10839679100350216,1,485.1291793043295,1,0.5677632486968672,0.6156354589595345
1,14,1,0.7846802961412739,0.9,0.21531970385872612,0.09999999999999998,0.15765985192936305,1,0.4732784431231244,0.22399248472504849,0,544.3575342461643,0,0.620500790964805,0.6156354589595345
1,15,1,0.8542540693371892,0.9,0.14574593066281083,0.09999999999999998,0.1228729653314054,1,0.4318872658113475,0.18652661037000154,0,523.5253953272406,0,0.6279735157204145,0.6156354589595345
1,16,1,0.8700077155579599,0.9,0.12999228444204014,0.09999999999999998,0.11499614222102006,10,0.5967310578982775,0.35608795546039745,1,465.54278804328743,10,0.7065565730377437,0.6156354589595345
1,17,1,0.7650366644053493,0.9,0.23496333559465066,0.09999999999999998,0.16748166779732532,5,0.35067972316988594,0.12297626824250783,0,547.0741751834535,0,0.5622328152366819,0.6156354589595345
1,18,1,0.776585374950758,0.9,0.22341462504924203,0.09999999999999998,0.161707312524621,5,0.6060574424641294,0.36730562356616153,1,527.6862227057704,5,0.6731731048415445,0.6156354589595345
1,19,1,0.8541934359909122,0.9,0.14580656400908776,0.09999999999999998,0.12290328200454387,5,0.4981821712769833,0.2481854757782495,1,438.77488387891606,5,0.6570253326931741,0.6156354589595345
1,20,1,0.8791527191347039,0.9,0.12084728086529606,0.09999999999999998,0.11042364043264802,1,0.41835232797188665,0.17501867031949703,0,391.9134136025611,0,0.6308663502505549,0.6156354589595345
1,21,1,0.749858445829775,0.9,0.250141554170225,0.09999999999999998,0.17507077708511248,1,0.2753774967106707,0.07583276569463544,0,534.500332702725,0,0.5260480836423339,0.6156354589595345
1,22,1,0.8197730932977072,0.9,0.1802269067022928,0.09999999999999998,0.1401134533511464,5,0.5613958963721827,0.31516535246352645,0,543.803779014727,0,0.6713116626415838,0.6156354589595345
1,23,1,0.8607344153798229,0.9,0.13926558462017713,0.09999999999999998,0.11963279231008855,10,0.7389869664910211,0.5461017366436016,1,451.50651920207457,10,0.7654735499494248,0.6156354589595345
1,24,1,0.7244175909401346,0.9,0.2755824090598654,0.09999999999999998,0.1877912045299327,1,0.3486179518342481,0.12153447634110613,1,505.09245884566667,1,0.5476796811043019,0.6156354589595345
1,25,1,0.7854215577252512,0.9,0.21457844227474876,0.09999999999999998,0.15728922113737437,10,0.4921447727245376,0.24220647732008677,1,447.01864980035504,10,0.6287232417992452,0.6156354589595345
1,26,1,0.8068178838750883,0.9,0.19318211612491165,0.09999999999999998,0.14659105806245581,2,0.39833888004434365,0.158673863354982,1,489.68658659080535,2,0.5966774520443869,0.6156354589595345
1,27,1,0.8885819407825039,0.9,0.11141805921749615,0.09999999999999998,0.10570902960874806,2,0.46537812080669283,0.21657679532556878,1,412.2490507526172,2,0.6552372108231633,0.6156354589595345
1,28,1,0.7129784494217962,0.9,0.2870215505782038,0.09999999999999998,0.19351077528910188,2,0.24904867009999465,0.06202524007857597,1,531.8226718042703,2,0.5036721467875616,0.6156354589595345
1,29,1,0.7073773894709066,0.9,0.29262261052909344,0.09999999999999998,0.1963113052645467,1,0.41344783293565046,0.17093911055918554,1,534.7937250380354,1,0.567986021964354,0.6156354589595345
1,30,1,0.7690142496053366,0.9,0.2309857503946634,0.09999999999999998,0.1654928751973317,1,0.35857194755678734,0.12857384157466745,1,492.71575678652664,1,0.566868984896588,0.6156354589595345
1,31,1,0.8971300908221201,0.9,0.10286990917787986,0.09999999999999998,0.10143495458893992,10,0.5740178734489659,0.32949651903887306,1,481.46166839145013,10,0.7071787209667452,0.6156354589595345
1,32,1,0.7484319876554851,0.9,0.25156801234451487,0.09999999999999998,0.17578400617225742,2,0.5800584667251947,0.33646782481958376,0,424.6368020395437,0,0.6511547297289227,0.6156354589595345
1,33,1,0.8071549368149517,0.9,0.19284506318504835,0.09999999999999998,0.14642253159252416,10,0.58731657346259,0.3449407574638379,1,504.1064328685409,10,0.6774488311687134,0.6156354589595345
